cam,start,end,area
CAM67647,2019-05-22 11:07:00,2019-07-27 17:34:00,23.48
CAM68033,2019-05-19 12:03:00,2019-07-27 12:33:00,23.48
CAM68035,2019-05-20 17:01:00,2019-07-28 01:49:00,23.48
CAM68044,2019-05-23 12:54:00,2019-08-09 10:36:00,23.48
CAM68045,2019-05-23 16:42:00,2019-07-28 10:22:00,23.48
CAM68060,2019-05-21 22:31:00,2019-07-27 03:34:00,23.48
CAM68061,2019-05-20 22:56:00,2019-07-29 19:24:00,23.48
CAM68075,2019-05-23 10:59:00,2019-08-03 09:17:00,23.48
CAM68076,2019-05-22 12:30:00,2019-07-23 20:38:00,23.48
CAM68098,2019-05-24 13:00:00,2019-08-14 02:14:00,23.48
CAM68144,2019-05-23 15:24:00,2019-07-23 15:24:00,23.48
CAM68146,2019-05-21 11:28:00,2019-09-10 23:08:00,23.48
CAM68430,2019-05-28 15:54:00,2019-07-06 05:58:00,23.48
CAM68446,2019-05-28 16:29:00,2019-07-28 09:44:00,23.48
CAM68448,2019-05-25 11:11:00,2019-07-07 16:16:00,23.48
CAM68471,2019-05-27 11:10:00,2019-08-03 20:24:00,23.48
CAM68479,2019-05-27 13:54:00,2019-07-27 13:54:00,23.48
CAM68480,2019-05-26 15:26:00,2019-08-02 15:01:00,23.48
CAM68481,2019-05-28 05:33:00,2019-07-19 00:23:00,23.48
CAM68489,2019-05-30 12:35:00,2019-08-26 14:00:00,23.48
CAM68492,2019-05-26 13:16:00,2019-07-31 02:53:00,23.48
CAM68529,2019-05-30 13:33:00,2019-08-20 10:38:00,23.48
CAM68531,2019-05-26 14:20:00,2019-07-26 11:39:00,23.48
CAM68533,2019-05-30 15:23:00,2019-08-09 06:08:00,23.48
CAM68544,2019-05-30 12:16:00,2019-07-30 12:16:00,23.48
CAM68556,2019-05-28 17:03:00,2019-07-28 17:13:00,23.48
CAM68557,2019-05-26 11:51:00,2019-08-23 15:48:00,23.48
CAM68571,2019-05-26 10:16:00,2019-07-28 13:50:00,23.48
CAM68587,2019-05-27 11:06:00,2019-07-12 20:56:00,23.48
CAM68599,2019-05-28 14:38:00,2019-07-28 16:29:00,23.48
CAM68600,2019-05-27 12:54:00,2019-07-27 12:54:00,23.48
CAM68602,2019-05-28 15:27:00,2019-08-09 07:08:00,23.48
CAM68608,2019-05-30 11:15:00,2019-08-01 22:23:00,23.48
CAM68611,2019-05-26 15:13:00,2019-07-25 15:04:00,23.48
CAM68613,2019-05-28 14:07:00,2019-08-03 09:25:00,23.48
CAM68616,2019-05-25 15:53:00,2019-08-12 18:07:00,23.48
CAM68617,2019-05-30 14:16:00,2019-08-22 18:55:00,23.48
