cam,datetime,count
CAM68061,2019-05-24 16:59:44,1
CAM68061,2019-05-24 16:59:45,1
CAM68061,2019-06-27 17:05:16,1
CAM68061,2019-06-27 17:05:17,1
CAM68061,2019-06-28 18:30:39,1
CAM68061,2019-06-28 18:30:40,1
CAM68098,2019-05-30 17:48:46,1
CAM68098,2019-05-30 17:48:47,1
CAM68098,2019-05-30 17:49:18,1
CAM68098,2019-05-30 17:49:19,1
CAM68098,2019-06-16 05:10:55,1
CAM68098,2019-07-31 04:36:56,1
CAM68146,2019-07-05 10:14:50,1
CAM68146,2019-07-05 10:14:51,1
CAM68146,2019-07-05 10:15:30,1
CAM68146,2019-07-05 10:15:31,1
CAM68146,2019-07-05 10:15:40,1
CAM68146,2019-07-05 10:15:41,1
CAM68146,2019-09-04 10:02:59,1
CAM68146,2019-09-04 10:03:00,1
CAM68446,2019-06-28 08:44:43,1
CAM68480,2019-07-15 19:18:46,1
CAM68492,2019-07-05 20:31:01,1
CAM68492,2019-07-08 17:03:29,1
CAM68492,2019-07-08 17:03:30,1
CAM68492,2019-07-12 15:32:20,1
CAM68492,2019-07-12 15:32:21,1
CAM68531,2019-06-05 03:25:40,1
CAM68533,2019-08-05 07:08:45,1
CAM68556,2019-06-08 03:39:10,1
CAM68557,2019-08-10 06:10:55,1
CAM68571,2019-05-28 12:50:13,1
CAM68571,2019-05-28 12:50:14,1
CAM68602,2019-06-28 20:03:00,1
CAM68611,2019-06-19 15:32:34,1
CAM68611,2019-06-19 15:32:35,1
CAM68611,2019-06-19 15:32:49,1
CAM68611,2019-06-19 15:33:01,1
CAM68611,2019-06-19 15:33:01,1
CAM68626,2019-06-18 23:34:39,1
CAM68626,2019-06-18 23:40:56,1
CAM68626,2019-06-18 23:41:48,1
CAM68626,2019-06-18 23:42:11,1
CAM68626,2019-06-18 23:42:39,1
CAM68629,2019-07-02 07:23:17,1
CAM68631,2019-07-02 19:56:33,1
CAM68661,2019-06-16 03:30:19,1
CAM68664,2019-06-05 19:29:29,1
CAM68664,2019-07-01 12:00:40,1
CAM68664,2019-07-01 12:00:41,1
CAM68735,2019-08-20 21:41:09,1
CAM68735,2019-08-27 03:05:22,1
CAM68744,2019-06-01 11:16:29,1
CAM68744,2019-06-01 11:16:30,1
CAM68744,2019-06-01 17:41:27,1
CAM68744,2019-06-01 17:41:28,1
CAM68744,2019-06-01 17:41:41,1
CAM68815,2019-08-02 20:06:22,1
CAM68868,2019-05-26 21:15:25,1
CAM68868,2019-06-01 09:55:52,1
CAM68868,2019-06-27 01:34:00,1
CAM68868,2019-06-28 23:36:43,1
CAM68868,2019-07-12 17:40:47,1
CAM68868,2019-07-12 17:40:48,1
CAM68868,2019-07-23 17:22:42,1
CAM68868,2019-07-23 17:22:43,1
CAM68868,2019-07-24 19:08:37,1
CAM69182,2019-06-10 09:45:51,1
CAM69182,2019-06-10 09:45:52,1
CAM69183,2019-07-01 20:23:18,1
CAM69183,2019-08-12 06:47:07,1
CAM69254,2019-07-14 12:39:43,1
CAM69254,2019-07-14 12:39:44,1
CAM69254,2019-07-17 18:15:13,1
CAM69255,2019-08-12 14:46:09,1
CAM69255,2019-08-12 14:46:10,1
CAM69258,2019-06-21 12:03:14,1
CAM69258,2019-06-21 12:03:15,1
CAM69261,2019-06-03 11:57:43,1
CAM69261,2019-06-03 11:57:44,1
CAM69261,2019-06-12 12:47:17,1
CAM69261,2019-06-12 12:47:18,1
CAM69261,2019-06-12 13:35:29,1
CAM69261,2019-06-12 13:35:30,1
CAM69261,2019-06-16 13:52:09,1
CAM69261,2019-06-16 13:52:10,1
CAM69261,2019-06-16 13:52:24,1
CAM69261,2019-06-16 13:52:25,1
CAM69261,2019-06-18 09:19:43,1
CAM69261,2019-06-20 00:34:23,1
CAM69261,2019-06-21 13:47:43,1
CAM69261,2019-06-21 13:47:44,1
CAM69261,2019-07-09 20:19:25,1
CAM69261,2019-07-13 06:51:40,1
CAM69263,2019-06-01 17:30:53,1
CAM69263,2019-06-01 17:30:55,1
CAM69263,2019-06-27 15:36:47,1
CAM69263,2019-06-27 15:36:48,1
CAM69268,2019-07-14 10:59:59,1
CAM69268,2019-07-14 11:00:01,1
CAM69271,2019-06-06 01:56:30,1
CAM69280,2019-06-11 19:47:12,1
